what,kind,bundleId,bundleVersion,description,time
activated,editor,org.jboss.tools.common.model.ui,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1364715038555
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715040042
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1364715047337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715047391
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1364715047471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715047584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715047605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715047925
closed,editor,org.jboss.tools.common.model.ui,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1364715048012
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715050727
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715050882
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715054689
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715059704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715061420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715180654
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364715184768
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364715184863
started,bundle,org.jboss.ide.eclipse.as.management.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.management.core",1364715184931
started,bundle,org.jboss.tools.jmx.core,1.3.1.v20130102-1732-H80-Final,"org.jboss.tools.jmx.core",1364715184949
started,bundle,org.jboss.ide.eclipse.as.jmx.integration,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.jmx.integration",1364715184949
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1364715184977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715190139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715193382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364715193392
started,bundle,org.jboss.tools.jmx.ui,1.3.1.v20130102-1732-H80-Final,"org.jboss.tools.jmx.ui",1364715193723
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715196676
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715198029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715198111
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715198111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715206959
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1364715207078
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1364715207082
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1364715207086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715226935
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1364715226948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715242390
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1364715244483
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1364715244541
started,bundle,org.eclipse.wst.common.modulecore.ui,1.0.102.v201201262000,"org.eclipse.wst.common.modulecore.ui",1364715247603
started,bundle,org.eclipse.jst.common.ui,1.0.101.v201201262000,"org.eclipse.jst.common.ui",1364715247679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715320344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1364715320363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715326121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715328156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715329581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715337327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715402429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715535899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715539388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715539414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715544736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715545651
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715551305
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715551386
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715552807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715553543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715614377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715616547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715632353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715642556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715659873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715660374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715662235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715662782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715666173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715666371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715677742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715679081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715679878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715681144
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715683441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715686536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715687296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715689918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715692912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715696799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715747559
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715752223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1364715761150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1364715767566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715789927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715808718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1364715812030
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715820143
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715820257
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715825054
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1364715832992
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1364715833129
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1364715833275
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1364715833283
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1364715833423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715834036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715839594
started,bundle,org.jboss.tools.vpe,3.3.2.v20130112-0117-H111-Final,"org.jboss.tools.vpe",1364715839664
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1364715840409
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1364715840521
opened,editor,org.jboss.tools.jst.jsp,3.3.1.v20130102-1748-H95-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1364715840898
activated,editor,org.jboss.tools.jst.jsp,3.3.1.v20130102-1748-H95-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1364715841207
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715843457
closed,editor,org.jboss.tools.jst.jsp,3.3.1.v20130102-1748-H95-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1364715843457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1364715844526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715849856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715881970
error,log,,,"Exception in org.eclipse.ui.internal.FolderLayout.addView(String): org.eclipse.ui.PartInitException: View descriptor not found: org.jboss.tools.seam.ui.views.SeamComponentsNavigator",1364715882010
error,log,,,"Exception in org.eclipse.ui.internal.FolderLayout.addView(String): org.eclipse.ui.PartInitException: View descriptor not found: org.jboss.tools.seam.ui.views.SeamComponentsNavigator",1364715882012
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1364715882593
error,log,,,"Contributor org.eclipse.ui.navigator.ProjectExplorer cannot be created.",1364715882641
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1364715882826
opened,view,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef.ui.palette_view",1364715882874
activated,perspective,org.jboss.tools.jst.web.ui,3.3.1.v20130102-1748-H95-Final,"org.jboss.tools.jst.web.ui.WebDevelopmentPerspective",1364715882926
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364715882973
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1364715887487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715890009
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1364715894313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364715905401
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364715910147
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1364715928198
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1364715928707
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1364715929973
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1364715931120
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1364715937283
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1364715937350
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364715938809
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1364715950791
